alg,n,m,p_max,I,mean,std,min,max
Random,1,10,128,60,7.444444444444445,0.0,7.444444444444445,7.444444444444445
RandomizedPmax,1,10,128,60,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,61,1.0,0,1.0,1.0
QThreshold,1,10,128,61,8.777777777777779,0,8.777777777777779,8.777777777777779
Random,1,10,128,61,5.222222222222222,0.0,5.222222222222222,5.222222222222222
RandomizedPmax,1,10,128,61,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,62,6.833333333333333,0,6.833333333333333,6.833333333333333
QThreshold,1,10,128,62,1.2222222222222223,0,1.2222222222222223,1.2222222222222223
Random,1,10,128,62,6.833333333333333,0.0,6.833333333333333,6.833333333333333
RandomizedPmax,1,10,128,62,4.8438304338388125,2.7571221793363123,1.0,6.833333333333333
FastGreedy,1,10,128,63,1.0,0,1.0,1.0
QThreshold,1,10,128,63,30.0,0,30.0,30.0
Random,1,10,128,63,34.0,0.0,34.0,34.0
RandomizedPmax,1,10,128,63,4.333333333333333,0.0,4.333333333333333,4.333333333333333
FastGreedy,1,10,128,64,4.0,0,4.0,4.0
QThreshold,1,10,128,64,4.0,0,4.0,4.0
Random,1,10,128,64,122.0,0.0,122.0,122.0
RandomizedPmax,1,10,128,64,4.0,0.0,4.0,4.0
FastGreedy,1,10,128,65,1.0,0,1.0,1.0
QThreshold,1,10,128,65,16.833333333333332,0,16.833333333333332,16.833333333333332
Random,1,10,128,65,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,65,1.7341628959276012,0.8983151737802273,1.0,2.8333333333333335
FastGreedy,1,10,128,66,3.5,0,3.5,3.5
QThreshold,1,10,128,66,10.0,0,10.0,10.0
Random,1,10,128,66,10.5,0.0,10.5,10.5
RandomizedPmax,1,10,128,66,3.5,0.0,3.5,3.5
FastGreedy,1,10,128,67,2.75,0,2.75,2.75
QThreshold,1,10,128,67,21.5,0,21.5,21.5
Random,1,10,128,67,1.0,0.0,1.0,1.0
RandomizedPmax,1,10,128,67,2.75,0.0,2.75,2.75
FastGreedy,1,10,128,68,1.0,0,1.0,1.0
QThreshold,1,10,128,68,43.0,0,43.0,43.0
Random,1,10,128,68,43.0,0.0,43.0,43.0
RandomizedPmax,1,10,128,68,1.0,0.0,1.0,1.0
